tf.Tensor(-1.7077601, shape=(), dtype=float32)
tf.Tensor(-2.1767595, shape=(), dtype=float32)
tf.Tensor(-2.2529068, shape=(), dtype=float32)
tf.Tensor(-2.2212462, shape=(), dtype=float32)
tf.Tensor(-1.1420097, shape=(), dtype=float32)
tf.Tensor(-2.102673, shape=(), dtype=float32)
tf.Tensor(-1.902947, shape=(), dtype=float32)
tf.Tensor(-2.2187972, shape=(), dtype=float32)
tf.Tensor(-1.9466331, shape=(), dtype=float32)
tf.Tensor(-2.1277246, shape=(), dtype=float32)
tf.Tensor(-1.9756149, shape=(), dtype=float32)
tf.Tensor(-2.2137876, shape=(), dtype=float32)
tf.Tensor(-2.0881362, shape=(), dtype=float32)
tf.Tensor(-2.0517972, shape=(), dtype=float32)
tf.Tensor(-1.8425424, shape=(), dtype=float32)
tf.Tensor(-2.1389854, shape=(), dtype=float32)
tf.Tensor(-2.1288972, shape=(), dtype=float32)
tf.Tensor(-2.1900878, shape=(), dtype=float32)
tf.Tensor(-1.8775603, shape=(), dtype=float32)
tf.Tensor(-2.2511797, shape=(), dtype=float32)
tf.Tensor(-1.9773912, shape=(), dtype=float32)
tf.Tensor(-1.9943098, shape=(), dtype=float32)
tf.Tensor(-2.0307121, shape=(), dtype=float32)
tf.Tensor(-2.2692285, shape=(), dtype=float32)
tf.Tensor(-0.799474, shape=(), dtype=float32)
tf.Tensor(-2.0622337, shape=(), dtype=float32)
tf.Tensor(-2.0867355, shape=(), dtype=float32)
tf.Tensor(-2.076483, shape=(), dtype=float32)
tf.Tensor(-2.1914277, shape=(), dtype=float32)
tf.Tensor(-2.0487945, shape=(), dtype=float32)
tf.Tensor(-2.1742487, shape=(), dtype=float32)
tf.Tensor(-2.1025755, shape=(), dtype=float32)
tf.Tensor(-2.0387726, shape=(), dtype=float32)
tf.Tensor(-2.0233796, shape=(), dtype=float32)
tf.Tensor(-2.0169017, shape=(), dtype=float32)
tf.Tensor(-2.1345663, shape=(), dtype=float32)
tf.Tensor(-1.8971443, shape=(), dtype=float32)
tf.Tensor(-2.2089853, shape=(), dtype=float32)
tf.Tensor(-2.0651114, shape=(), dtype=float32)
tf.Tensor(-2.2709723, shape=(), dtype=float32)
tf.Tensor(-2.1562815, shape=(), dtype=float32)
tf.Tensor(-2.211471, shape=(), dtype=float32)
tf.Tensor(-1.0950483, shape=(), dtype=float32)
tf.Tensor(-2.2967994, shape=(), dtype=float32)
tf.Tensor(-2.1826646, shape=(), dtype=float32)
tf.Tensor(-1.819873, shape=(), dtype=float32)
tf.Tensor(-2.2582986, shape=(), dtype=float32)
tf.Tensor(-2.1101124, shape=(), dtype=float32)
tf.Tensor(-1.9915824, shape=(), dtype=float32)
tf.Tensor(-2.0484703, shape=(), dtype=float32)
tf.Tensor(-2.0472655, shape=(), dtype=float32)
tf.Tensor(-2.1848798, shape=(), dtype=float32)
tf.Tensor(-2.085762, shape=(), dtype=float32)
tf.Tensor(-2.009128, shape=(), dtype=float32)
tf.Tensor(-0.96361345, shape=(), dtype=float32)
tf.Tensor(-2.2423894, shape=(), dtype=float32)
tf.Tensor(-1.3675456, shape=(), dtype=float32)
tf.Tensor(-2.03558, shape=(), dtype=float32)
tf.Tensor(-2.069313, shape=(), dtype=float32)
tf.Tensor(-2.241642, shape=(), dtype=float32)
tf.Tensor(-2.0078027, shape=(), dtype=float32)
tf.Tensor(-2.1420035, shape=(), dtype=float32)
tf.Tensor(-2.0726705, shape=(), dtype=float32)
tf.Tensor(-1.5028663, shape=(), dtype=float32)
tf.Tensor(-1.6082582, shape=(), dtype=float32)
tf.Tensor(-2.0177937, shape=(), dtype=float32)
tf.Tensor(-1.8251089, shape=(), dtype=float32)
tf.Tensor(-0.75632894, shape=(), dtype=float32)
tf.Tensor(-1.7865186, shape=(), dtype=float32)
tf.Tensor(-2.0576277, shape=(), dtype=float32)
tf.Tensor(-1.9308732, shape=(), dtype=float32)
tf.Tensor(-1.966137, shape=(), dtype=float32)
tf.Tensor(-1.8602654, shape=(), dtype=float32)
tf.Tensor(-1.9780554, shape=(), dtype=float32)
tf.Tensor(-1.6974801, shape=(), dtype=float32)
tf.Tensor(-1.7302983, shape=(), dtype=float32)
tf.Tensor(-2.1988873, shape=(), dtype=float32)
tf.Tensor(-1.8562497, shape=(), dtype=float32)
tf.Tensor(-2.1485093, shape=(), dtype=float32)
tf.Tensor(-1.8831346, shape=(), dtype=float32)
tf.Tensor(-1.3501003, shape=(), dtype=float32)
tf.Tensor(-2.052845, shape=(), dtype=float32)
tf.Tensor(-2.1420064, shape=(), dtype=float32)
tf.Tensor(-1.7884861, shape=(), dtype=float32)
tf.Tensor(-1.7804382, shape=(), dtype=float32)
tf.Tensor(-1.671267, shape=(), dtype=float32)
tf.Tensor(-2.0355613, shape=(), dtype=float32)
tf.Tensor(-0.7433882, shape=(), dtype=float32)
tf.Tensor(-1.8216801, shape=(), dtype=float32)
tf.Tensor(-1.4717932, shape=(), dtype=float32)
tf.Tensor(-1.7093971, shape=(), dtype=float32)
tf.Tensor(-1.8032472, shape=(), dtype=float32)
tf.Tensor(-2.0142848, shape=(), dtype=float32)
tf.Tensor(-1.1908646, shape=(), dtype=float32)
tf.Tensor(-0.9522675, shape=(), dtype=float32)
tf.Tensor(-2.0433059, shape=(), dtype=float32)
tf.Tensor(-1.942944, shape=(), dtype=float32)
tf.Tensor(-2.028105, shape=(), dtype=float32)
tf.Tensor(-1.9846716, shape=(), dtype=float32)
tf.Tensor(-2.0186005, shape=(), dtype=float32)
tf.Tensor(-1.944102, shape=(), dtype=float32)
tf.Tensor(-2.0518198, shape=(), dtype=float32)
tf.Tensor(-2.129848, shape=(), dtype=float32)
tf.Tensor(-2.1223295, shape=(), dtype=float32)
tf.Tensor(-1.8905268, shape=(), dtype=float32)
tf.Tensor(-2.2315075, shape=(), dtype=float32)
